frmAudioEngine.frmAudioEngine	Audio Engine	音频引擎
frmSettings.chkSonyPTZNDI	Enable Sony VISCA over IP with NDI	使用NDI启用IP上的Sony VISCA
frmSettings.chkStartSRTOutput	Start SRT Output	启动SRT输出
frmSettings.chkGlobalDataSources	Save Data Sources in Global Settings	在全局设置中保存数据源
frmSettings.chkTBarTriggers	Enable Triggers on T-Bar	在T-Bar上启用触发器
frmSettings.chkControllerNotifications	Controller Plug And Play Enabled	控制器即插即用启用
frmSettings.chkInputCloseConfirm	Display confirmation for Input Close button	显示输入关闭按钮的确认
frmSettings.chkShowProductionClocks	Production Clocks	生产时钟
frmSettings.chkShowFTB	FTB	FTB
frmSettings.chkShowTBar	T-Bar	T-酒吧
frmSettings.chkShowTransition24	Transitions 2-4	过渡2-4
frmSettings.chkShowQuickPlay	QuickPlay	快玩
frmSettings.lblTransitionDisplay	Transition Display:	过渡显示：
frmSettings.chkShowOverlays	Overlay	覆盖
frmSettings.chkControlSurfaceEnabled	vMix Control Surface Enabled	vMix控制界面启用
frmSettings.chkMultiInstance	Enable Multiple Instances	启用多个实例
frmSettings.chkRememberWindowPosition	Remember Window Position	记住窗口位置
frmSettings.chkRecordingConfirm	Display confirmation for Record, External, Stream and MultiCorder buttons	显示确认的记录，外部，流和MultiCorder按钮
frmSettings.chkPreviewClick	Activate QuickPlay by clicking Preview Window	通过点击预览窗口激活的QuickPlay
frmSettings.lblLanguage	Language:	语言：
frmSettings.chkExternal	Start External Output	启动外部输出
frmSettings.chkPausePreview	Automatically Pause Preview Input after Transition	过渡期后自动暂停预览输入
frmSettings.chkMaximised	Start Maximised	开始Maximised
frmSettings.chkAdvanced	Start in Advanced mode	以高级模式启动
frmSettings.chkRestartActive	Automatically Restart Output Input with Transition	自动重启动输出输入与转换
frmSettings.chkFullscreen	Start Fullscreen display	开始全屏显示
frmSettings.chkPlayActive	Automatically Play Output Input with Transition	自动播放输出输入与转型
frmSettings.lblMilliseconds	Milliseconds	毫秒
frmSettings.lblQuickPlayTransition	QuickPlay Transition:	QuickPlay的过渡：
frmSettings.lblQuickPlayDuration	QuickPlay Duration:	QuickPlay的时间：
frmSettings.chkRecordingAlert	Display alert on UI and MultiView when NOT Recording	不录制时在UI和MultiView上显示警报
frmSettings.lblRecordingAlert	No Recording Alert	无录音提示
frmSettings.chkFTBAlert	Display alert on UI and MultiView when Fade To Black (FTB) enabled	启用淡入黑色（FTB）时在UI和MultiView上显示警报
frmSettings.lblFTBAlert	Fade To Black Alert	淡入黑色警报
frmSettings.lblAlertSeconds	seconds.	秒。
frmSettings.lblAlertDB	dB for	分贝
frmSettings.chkVolumeAlert	Display alert on UI and MultiView when Volume drops below	当音量降至以下时在UI和MultiView上显示警报
frmSettings.lblVolumeAlert	Volume Alert	音量警报
frmSettings.chkPerformanceAlerts	Show GPU / CPU alerts	显示GPU / CPU警报
frmSettings.lblDisplayMethod	Display Method:	显示方法：
frmSettings.chkDisableWindowsUpdate	Disable Windows Update when vMix is running	vMix运行时禁用Windows更新
frmSettings.lblHighPerformanceMode	For graphics cards with 3GB+ memory only	对于只有3GB +内存的显卡
frmSettings.chkHighPerformanceMode	High Input Performance Mode	高输入性能模式
frmSettings.Label1	Graphics Adapter:	图形适配器：
frmSettings.chkNDIFeim	NDI Faulty encoder isolation mode	AND错误的编码器隔离模式
frmSettings.chkPerfReadLock	High Output Performance Mode	高输出性能模式
frmSettings.chkGTSurfaceLock	Lock GT Surfaces	锁定GT表面
frmSettings.lblPreviewSkip	Preview Skip:	预览跳过：
frmSettings.chkDirect3D9ExPreview	Enable FlipEx on Previews	在预览启用FlipEx
frmSettings.chkOptimus	Enable Optimus Graphics compatibility	启用Optimus显卡兼容性
frmSettings.lblApplicationPriority	Application Priority:	申请的优先权：
frmSettings.chkDirect3D9Ex	Enable FlipEx on Fullscreen	启用FlipEx上全屏
frmSettings.lblOutputFormat	Output Format:	输出格式：
frmSettings.lblVideoRenderer	Video Renderer:	视频渲染器：
frmSettings.chkLockBackBuffer	Synchronize Output with Refresh Rate	与刷新率同步输出
frmSettings.chkYUVFix	Automatically convert 16-235 to 0-255 for YUV inputs	自动转换16-235用于YUV输入到0-255
frmSettings.chkMemoryLock	Memory Lock	内存锁
frmSettings.chkDisableInputEffects	Disable Effects on Input Previews	禁用对输入预览的影响
frmSettings.lblActiveAdapter	In Use: None	在用途：无
frmSettings.lblAdapter	Graphics Adapter:	图形适配器：
frmSettings.chkCaptureLowLatency	Low Latency Capture	低延时捕获
frmSettings.lblProductName	vMix	vMix
frmSettings.lnkPrivacyPolicy	View Privacy Policy	查看隐私政策
frmSettings.lnkEULA	View End User Licensing Agreement	查看最终用户许可协议
frmSettings.cmdSendReport	Send Support Report	发送报告的支持
frmSettings.chkUpdateCheck	Check for updates on startup	在启动时检查更新
frmSettings.lblFeatures	Features:	特点：
frmSettings.lblCaptureInputs	Capture Inputs:	捕捉输入：
frmSettings.lblInputs	Inputs:	输入：
frmSettings.lblMaximumSize	Maximum Size:	最大尺寸：
frmSettings.lblExpiryDate	Expiry Date:	截止日期：
frmSettings.lblVersion	Version:	版本：
frmSettings.cmdChangeRegistration	Change Registration Key	更改注册码
frmSettings.cmdMVInputs	Customise Layout	自定义布局
frmSettings.lblOutputsDescription	Description	描述
frmSettings.lblNDIAdditional	Additional NDI Outputs	其他具有输出
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.lblOutputsOverlay	Overlays	叠加
frmSettings.lblOutputsSource	Source	资源
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.lblName	Output	产量
frmSettings.cmdNDI	NDI OFF	带关闭
frmSettings.cmdMVStandard	Legacy	遗产
frmSettings.lblMultiViewLayout	MultiView Layout	多视图布局
frmSettings.chkWebLocalhostAccess	Allow software on this computer access without login.	允许无需登录即可访问此计算机上的软件。
frmSettings.lblWebPermit	Allow access to following pages without login:	允许访问以下页面而无需登录：
frmSettings.lblWebPassword	Password:	密码：
frmSettings.lblUsername	Username:	用户名：
frmSettings.lblWebControllerDescription	TIP: The Web Site Address above can be used to control vMix from any device on the same network including Android, iPad, Surface and Mobile Phones. Simply type it into the browser on that device.	提示：上面的网站地址可以被用来从任何设备控制vMix同一网络包括Android，iPad的，表面和移动电话上。只需将其输入到该设备上的浏览器。
frmSettings.txtWebServerLink	Not Enabled	未启用
frmSettings.chkWebServerEnabled	Enabled	启用
frmSettings.lblWebServerAddress	Web Site Address:	网站地址：
frmSettings.lblPort	Port:	港口：
frmSettings.chkInputNumbers	Show Input Numbers	显示输入号码
frmSettings.lblFullscreen	Fullscreen:	全屏：
frmSettings.cmdDisplay2	Fullscreen 2	全屏2
frmSettings.cmdDisplay1	Fullscreen 1	全屏1
frmSettings.lblActiveColour	Output Colour:	输出颜色：
frmSettings.lblPreviewColour	Preview Colour:	预览颜色：
frmSettings.lblOutputSize	Output Size:	输出尺寸：
frmSettings.lblOutputAspectRatio	Output Aspect Ratio:	输出的宽高比：
frmSettings.lblInputSize	Input Size:	输入大小：
frmSettings.lblOutputScreen	Display:	显示方式：
frmSettings.lblTheme	Theme:	主题：
frmSettings.lblSystem	Master Frame Rate:	主帧速率：
frmSettings.chkOutputMinimise	Minimise	最大限度地减少
frmSettings.chkOutputAlwaysOnTop	On Top	顶部
frmSettings.lblOutputPosition	Position:	您的位置：
frmSettings.chkOutputHideCursor	Hide Cursor	隐藏光标
frmSettings.lblDefaultAudioBus	Default Bus for New Inputs	新输入默认巴士
frmSettings.lblDefaultAudioRenderer	Master Output	主输出
frmSettings.lblHeadphonesAudio	Headphones	头戴耳机
frmSettings.cmdFind	Find	找
frmSettings.cmdSCJoystick	Joystick	操纵杆
frmSettings.cmdSCShuttle	Shuttle PRO	班车PRO
frmSettings.cmdSCXKeys	Surface	表面
frmSettings.cmdSCKB	Keyboard	键盘
frmSettings.cmdSCMIDI	MIDI	下午
frmSettings.cmdSCAll	All	所有
frmSettings.cmdCloneShortcut	Clone	克隆
frmSettings.cmdMIDI	MIDI Settings	MIDI设置
frmSettings.cmdTemplates	Templates	模板
frmSettings.cmdEditShortcut	Edit	编辑
frmSettings.cmdRemoveShortcut	Remove	删除
frmSettings.cmdAddShortcut	Add	添加
frmSettings.chkExternalUseDisplaySettings	Use Display Settings	使用显示设置
frmSettings.chkExternalUseStreamingSettings	Use Streaming Settings	使用流设置
frmSettings.cmdAux2	External 2	外部2
frmSettings.cmdAux1	External	外部
frmSettings.cVirtual	vMix Video / Streaming	vMix视频/流
frmSettings.cDeckLink	External Renderer	外部渲染
frmSettings.lblExSystem	Frame Rate:	帧速率：
frmSettings.lblExtAlpha	Alpha Channel:	Alpha频道：
frmSettings.lblExtAudioChannels	Audio Channels:	音频通道：
frmSettings.lblExPort	Port:	港口：
frmSettings.lblExDevice	Device:	设备：
frmSettings.lblExAudioDevice	Audio Device:	音频设备：
frmSettings.lblDelayInfo	This sets a delay on the audio input in milliseconds. For example if the audio is earlier than the video by 200ms, type in 200 here	这台音频输入以毫秒为单位的延迟。例如，如果音频比视频早在20​​0这里是200毫秒，键入
frmSettings.lblAudioDelay	Audio Delay:	音频延迟：
frmSettings.lblExOutputSize	Output Size:	输出尺寸：
frmSettings.chkAdvancedSettings	Show Advanced Settings	显示高级设置
frmSettings.cmdCancel	Cancel	取消
frmSettings.chkInterlaced	Interlaced Recording	隔行记录
frmSettings.lblDefaultFolder	Default Folder for Recordings	录音的默认文件夹
frmSettings.lblRecordingFilenameFormat	Filename Format	文件名格式
frmSettings.cmdBrowse	Browse	浏览
frmSettings.chkRecordingSetup	Automatically Setup Recording With Previous Settings	自动设置的录制与以前的设置
frmSettings.lblRecordingMemoryBuffer	Recording Memory Buffer	录音内存缓冲区
frmSettings.lblBuffer	5 Frames (Between 20 MB and 40 MB for 1080p)	5帧（20 MB和40 MB用于1080p之间）
frmSettings.lblFFMpegFormats	Play the file types below using the FFMPEG decoder (Example: *.mov,*.qt,*.mxf)	播放的文件类型下使用FFmpeg的解码器（例如：*。MOV，QT *，* MXF）
frmSettings.lblFFMPEG	FFMPEG:	FFMPEG：
frmSettings.lblDirectShow	DirectShow:	DirectShow的：
frmSettings.lblCamera	Camera:	摄像头：
frmSettings.lblVideo	Video Playback:	视频播放：
frmSettings.lblDeinterlacing	Preferred Deinterlacing:	首选逐行扫描：
frmSettings.cmdBlockedFilterList	Blocked Filter List	被阻止的筛选器列表
frmSettings.lblDirectShowFilters	Filters:	过滤器：
frmSettings.lblMPEG2Video	MPEG 2 Video:	MPEG - 2视频：
frmSettings.cmd264Properties	Properties	属性
frmSettings.cmdProperties	Properties	属性
frmSettings.lblMPEGAudio	MPEG Audio:	MPEG音频：
frmSettings.lblx264Video	x264 Video:	X264视频：
frmSettings.chkDeinterlace	Use vMix Deinterlacing	使用vMix逐行扫描
frmSettings.cmdAudioProperties	Properties	属性
frmSettings.cmdStopAllScripts	Stop All	全部停止
frmSettings.cmdStartStopScript	Start	开始
frmSettings.cmdRemoveScript	Remove	拆除
frmSettings.cmdEditScript	Edit	编辑
frmSettings.cmdAddScript	Add	添加
frmSettings.chkRadioFarEnabled	Enabled	启用
frmSettings.lblRadioFar	Radio-Far Tally Lights	无线电远泰丽灯
frmSettings.lblTallyLightsLLCDescription	These tallys are automatically enabled when plugged in and are assigned to the Input number	插上电源并分配到输入号码时，这些tallys会自动启用
frmSettings.lblTallyLightsLLC	Tally Lights LLC / metaSETZ	泰丽灯LLC / metaSETZ
frmSettings.lblWebTallyLightsHelp	Browse to the page below on any WiFi connected device to turn it into an instant Tally Light	浏览以下网页上的任何WiFi连接的设备把它变成一个即时Tally灯
frmSettings.lblWebTallyLights	Web Tally Lights	网络理货灯
frmSettings.lblArduino	Arduino Tally Lights	Arduino的理货灯
frmSettings.cmdSwapPreviewActive	Swap Preview Active	交换预览活动
frmSettings.cmdTallyReset	Reset to Default	重置为默认值
frmSettings.cmdTallyLightsLegacy	Reset to Legacy Mode	复位到传统模式
frmSettings.lblDevicesNotice	No Devices have been enabled yet. Click Enable Devices to set them up.	没有设备已被尚未启用。单击启用设备对它们进行设置。
frmSettings.cmdDevices	Enable Devices	让设备
frmSettings.cmdExport	Export	出口
frmSettings.cmdImport	Import	进口
frmSettings.cmdRemove	Remove	去掉
frmSettings.cmdClone	Clone	克隆
frmSettings.cmdEdit	Edit	编辑
frmSettings.cmdAdd	Add	加
frmSettings.tMenu.Display	Display	显示
frmSettings.tMenu.Outputs / NDI / SRT	Outputs / NDI / SRT	输出/ I / SRT
frmSettings.tMenu.Options	Options	选项
frmSettings.tMenu.Performance	Performance	性能
frmSettings.tMenu.Decoders	Decoders	解码器
frmSettings.tMenu.Recording	Recording	录音
frmSettings.tMenu.External Output	External Output	外部输出
frmSettings.tMenu.Audio	Audio	音频
frmSettings.tMenu.Audio Outputs	Audio Outputs	音频输出
frmSettings.tMenu.Web Controller	Web Controller	网络控制器
frmSettings.tMenu.Tally Lights	Tally Lights	理货灯
frmSettings.tMenu.Shortcuts	Shortcuts	快捷键
frmSettings.tMenu.Activators	Activators	激活剂
frmSettings.tMenu.Scripting	Scripting	脚本
frmSettings.tMenu.Alerts	Alerts	快讯
frmSettings.tMenu.About	About	关于
frmSettings.cmdImport	Import	进口
frmSettings.cmdDefault	Default	默认
frmSettings.cmdExport	Export	出口
frmWizard.frmWizard	vMix Configuration	vMix配置
frmWizard.lblConfigureDescription	Select a starting configuration for vMix below. These settings can be customised later by clicking the Settings button.	选择vMix低于起始配置。这些设置可以在以后通过点击设置按钮进行自定义。
frmLanguage.frmLanguage	vMix Language	vMix语言
frmLanguage.lblTranslation	Translations provided by Google Translate	谷歌翻译提供的翻译
frmLanguage.cboLanguage	English	英语
frmTextEditor.frmTextEditor	Title Editor	标题编辑
frmTextEditor.tFont	Title Editor	标题编辑
frmTextEditor.cmdClocks	Clocks	钟
frmTextEditor.cmdBrowse	Browse	浏览
frmTextEditor.lblCountdown	Countdown	倒计时
frmTextEditor.cmdCountdownSettings	Settings	设置
frmTextEditor.cmdExport	Export	出口
frmTextEditor.cmdImport	Import	进口
frmTextEditor.cmdClear	Clear	清除
frmTextEditor.lblPresets	Presets	预设
frmTextEditor.cmdLiveEdit	Live	住
frmDuration.frmDuration	Duration	时间
frmDuration.gAnimation	Animation	动画
frmDuration.lblDuration	Duration	为期
frmDuration.cmdCancel	Cancel	取消
frmMultiCorder.frmMultiCorder	MultiCorder	MultiCorder
frmMultiCorder.lblVMXQuality	Quality:	质量：
frmMultiCorder.chkPreserveFormat	Record NDI in original MOV format	以原始MOV格式记录NDI
frmMultiCorder.cmdvMix	vMix AVI	vMix AVI
frmMultiCorder.cmdAudioRecording	WAV File Record	WAV文件记录
frmMultiCorder.chkFragmented	Fault Tolerant	容错
frmMultiCorder.lblAudioBitRate	Audio Bit Rate:	音频比特率：
frmMultiCorder.chkHardwareEncoder	Use Hardware Encoder	使用硬件编码器
frmMultiCorder.lblBitRate	Video Bit Rate:	视频比特率：
frmMultiCorder.lblFFMPEGABitrate	Audio Quality:	音频质量：
frmMultiCorder.lblFFMPEGVBitrate	Video Quality:	视频质量：
frmMultiCorder.lblFFMPEGExt	Format:	格式：
frmMultiCorder.lblFFMPEGFormat	Codec:	编解码器：
frmMultiCorder.cmdFFMPEG	FFMPEG	FFMPEG
frmMultiCorder.lblMinutes	Minutes	会议纪要
frmMultiCorder.lblRestartInterval	New File Every:	新的文件，每隔：
frmMultiCorder.lblAudioSource	Audio:	音频：
frmMultiCorder.cmdRecStartStop	Start	开始
frmMultiCorder.cmdTS	MPEG-2 TS	MPEG-2 TS
frmMultiCorder.cmdMKV	MKV	MKV
frmMultiCorder.cmdAVI	AVI	AVI
frmMultiCorder.lblCodec	Codec:	编解码器：
frmMultiCorder.cmdBrowse	Change Recording Folder	更改拍摄文件夹
frmTallyLight.frmTallyLight	Edit Tally Light	编辑理货灯
frmTallyLight.lblActivePin	Active Pin:	积极引脚：
frmTallyLight.lblPreviewPin	Preview Pin:	预览pin：
frmTallyLight.Cancel_Button	Cancel	取消
frmShortcuts.frmShortcuts	Shortcuts	捷径
frmShortcuts.cmdWebInterface	Web Controller	网络控制器
frmShortcuts.cmdEdit	Edit	编辑
frmShortCut.frmShortCut	Add Shortcut	新增捷径
frmShortCut.lblReplayChannel	Replay Channel:	重播频道：
frmShortCut.lblMix	Mix:	混合：
frmShortCut.lblVoice	Phrase	短语
frmShortCut.lblStreamDeck	StreamDeck	StreamDeck
frmShortCut.cmdDisplayBrowse	Browse	浏览
frmShortCut.lblDisplayType	Display:	显示：
frmShortCut.chkPressure	Pressure Enabled	压力已启用
frmShortCut.lblJSIndex	Index	指数
frmShortCut.lblJSButton	Button	按键
frmShortCut.chkControllerShow	Show in Web Controller	显示在网络控制器
frmShortCut.tabAll	All	所有
frmShortCut.chkInputNumber	Assign Shortcut to Input Number	分配快捷方式输入号码
frmShortCut.lblMidiValueType	Type	类型
frmShortCut.chkMidiValue	Value	值
frmShortCut.lblMidiNote	Note	注意
frmShortCut.lblChannel	Channel	通道
frmShortCut.lblMilliseconds	Milliseconds	毫秒
frmShortCut.cmdFindKey	Find ...	发现...
frmShortCut.lblCustomTitle	Title:	标题：
frmShortCut.chkLocal	Local Shortcut (This Preset Only)	本地快捷方式（此预设只有）
frmShortCut.lblValue	Value:	价值：
frmShortCut.lblInput	Input:	输入：
frmShortCut.lblDescription1	Description1:	说明1：
frmShortCut.lblKey	Key/Control:	键/控制：
frmShortCut.lblSelectable	Video:	视频：
frmShortCut.lblDuration	Duration:	时间：
frmShortCut.lblFunc	Function:	功能：
frmShortCut.lblDescription2	Description2:	description2：
frmShortCut.cmdRemove	&Remove	和删除
frmShortCut.lblTrigger	Trigger the following keys in addition to this Shortcut:	除了这条捷径，引发下面的键：
frmShortCut.cmdAdd	&Add	与添加
frmShortCut.cmdCancel	Cancel	取消
frmShortCut.tMenu.General	General	一般
frmShortCut.tMenu.Advanced	Advanced	先进
frmPowerPoint.frmPowerPoint	PowerPoint	PowerPoint中
frmPowerPoint.lblMilliseconds	Milliseconds	毫秒
frmPowerPoint.lblTransition	Transition:	过渡：
frmPowerPoint.lblEffect	Effect:	效果：
frmPowerPoint.lblDuration	Duration:	时间：
frmPowerPoint.lblSeconds	Seconds	秒
frmVirtualSet.frmVirtualSet	Virtual Set Zoom Editor	虚拟设置缩放编辑器
frmVirtualSet.Cancel_Button	Cancel	取消
frmVirtualSet.cmdResetRotate	Reset	重置
frmVirtualSet.cmdResetZoomY	Reset	重置
frmVirtualSet.cmdResetZoomX	Reset	重置
frmVirtualSet.lblZoomY	Zoom Y:	变焦Ÿ：
frmVirtualSet.lblRotateZ	Rotate:	旋转：
frmVirtualSet.lblZoomX	Zoom X:	变焦X：
frmVirtualSet.cmdResetPanY	Reset	重置
frmVirtualSet.cmdResetPanX	Reset	重置
frmVirtualSet.cmdResetZoom	Reset	重置
frmVirtualSet.lblPanY	Pan Y:	潘Ÿ：
frmVirtualSet.lblPanX	Pan X:	潘贤章：
frmVirtualSet.lblZoom	Zoom:	变焦：
frmCountdown.frmCountdown	Countdown Settings	倒计时设置
frmCountdown.lblCurrentTime	Current Time	当前时间
frmCountdown.chkReverseDisplay	Display (00:00:00) when Stopped	显示（00:00:00）停止时
frmCountdown.cmdCancel	Cancel	取消
frmCountdown.chkCountdownReverse	Reverse	逆转
frmCountdown.lblDisplayFormat	Display Format	显示格式
frmCountdown.lblDuration	Duration	为期
frmCountdown.lblStartTime	Stop Time	停止时间
frmStreaming.frmStreaming	Streaming Settings	流媒体设置
frmStreaming.lblProvider	Destination	目的地
frmStreaming.chkUseStream1Quality	Use Stream 1 Quality	使用流1质量
frmStreaming.lblStream	Stream Name or Key	流名称或关键
frmStreaming.lblURL	URL	URL
frmStreaming.cmdAdvanced	Advanced	先进
frmStreaming.chkHWEncoding	Use Hardware Encoder	使用硬件编码器
frmStreaming.cmdInfo	Sign Up	报名
frmStreaming.lblChannel	Channel	渠道
frmStreaming.cmdLogin	Login and Update Channels	登录和更新通道
frmStreaming.lblPassword	Password	密码
frmStreaming.lblUsername	Username	用户名
frmStreaming.lblQuality	Quality	质量
frmStreaming.lblStreamingType	Application	应用
frmStreaming.cmdDelete	Delete	删除
frmStreaming.cmdAdd	Add	加
frmStreaming.lblProfile	Profile	轮廓
frmStreaming.cmdStartStopAll	Start All	全部开始
frmStreaming.cmdLog	View Status	查看状态
frmStreaming.cmdClose	Save and Close	保存并关闭“
frmStreaming.cmdStartStop	Start	开始
frmActivate.frmActivate	vMix Activation	vMix激活
frmActivate.lblActivationInformation	Your vMix Registration Key needs to be activated again due to a recent system change or software upgrade. Click Activate below to continue.	您vMix注册码需要再次由于最近系统的变化或软件升级激活。点击下面启动继续。
frmActivate.cmdExit	Exit	出口
frmActivate.cmdActivate	Activate	激活
frmActivate.lblInternetAccess	Internet access required to complete Activation	完成激活所需的互联网接入
frmActivate.lblRegistration	Activation	激活
frmOpenPreset.frmOpenPreset	Open Preset	开启预设
frmOpenPreset.cmdUnselectAll	Unselect All	全部取消选择
frmOpenPreset.cmdCancel	Cancel	取消
frmOpenPreset.cmdAppend	Append	附加
frmOpenPreset.cmdOpen	Open	开
frmEditCapture.frmEditCapture	Edit Capture	编辑拍摄
frmEditCapture.cmdRename	Edit	编辑
frmEditCapture.cmdReset	Reset	复位
frmEditCapture.cmdCancel	Cancel	取消
frmEditScript.frmEditScript	Edit Script	编辑脚本
frmEditScript.chkLocal	Local Script (This Preset Only)	本地脚本（仅此预设）
frmEditScript.cmdImport	Import	进口
frmEditScript.cmdExport	Export	出口
frmEditScript.OK_Button	Save	保存
frmEditScript.Cancel_Button	Close	关闭
frmEditScript.lblName	Name	名字
frmKeyFinder.frmKeyFinder	Find Control	找到控制
frmKeyFinder.lblMidi	Note: If you would like to use a MIDI controller, click here to to enable it first	注：如果您想使用一个MIDI控制器，​​点击此处先启用
frmKeyFinder.cmdCancel	Cancel	取消
frmKeyFinder.lblMessage	Press a button on the keyboard or controller	按键盘或控制器上的一个按钮
frmShortcutTemplates.frmShortcutTemplates	Shortcut Templates	快捷键模板
frmShortcutTemplates.lblDiagramType	Display as	显示为
frmShortcutTemplates.cmdApply	Apply	申请
frmShortcutTemplates.cmdClose	Close	关闭
frmShortcutTemplates.cmdSaveGraphic	Save Graphic	保存图形
frmShortcutTemplates.cmdExport	Export	出口
frmShortcutTemplates.cmdImport	Import	进口
frmNewPreset.frmNewPreset	New Preset	新预设
frmNewPreset.lblNew	Create a new blank preset with the following video format	创建具有以下视频格式一个新的空白预设
frmNewPreset.cmdCancel	Cancel	取消
UNDEFINED_ERROR	UNDEFINED_ERROR	UNDEFINED_ERROR
RECORDING_NOT_READY	Recording has not been configured	录制尚未配置
EMPTY_FILENAME	Filename cannot be left blank	文件名不能留空
DIRECT3D_SYSTEM_COPY_NOT_SUPPORTED	Recording is not supported by the installed graphics hardware. {newline}Performance will be adversely affected	录制不支持所安装的图形硬件。性能将受到不利影响
DIRECT3D_HARDWARE_NOT_SUPPORTED	Graphics hardware is not supported. {newline}DirectX 9 compatible hardware required.	图形硬件不支持。 DirectX 9兼容的硬件要求。
DIRECT3D_NOT_INSTALLED	Direct3D Not Found. Please install the latest version of DirectX 9.	Direct3D的找不到。请安装最新版本的DirectX 9。
DIRECT3D_DEVICE_LOST	The Graphics Driver has reported an error. vMix will now reset to the last known good state.	图形驱动程序报告了一个错误。 vMix现在恢复的最后一个已知的良好状态。
CROSSBAR_NOT_FOUND	Crossbar device could not be found	找不到交叉开关设备
CAPTURE_NOT_FOUND	Capture device could not be found	捕捉设备不能被发现
WINDOWS_7_REQUIRED	Windows 7 or higher required.	Windows 7或更高版本。
WINDOWS_10_REQUIRED	Windows 10 or higher required.	需要Windows 10或更高版本。
POWERPOINT_LOAD_SLIDE_ERROR	Could not load Slide, please ensure PowerPoint is closed and try again.	无法载入幻灯片，请确保PowerPoint是关闭，然后再试一次。
EXTERNAL_RENDERER_NOT_FOUND	External Renderer Not Found	外部渲染未找到
AUDIO_DEVICE_NOT_FOUND	AUDIO_DEVICE_NOT_FOUND	AUDIO_DEVICE_NOT_FOUND
AUDIO_FORMAT_NOT_FOUND	AUDIO_FORMAT_NOT_FOUND	AUDIO_FORMAT_NOT_FOUND
EXPIRED	This Program has Expired, please visit http://www.vmix.com/ for an updated version.	该计划已过期，请访问http://www.vmix.com/的更新版本。
WIDTH_NOT_NUMBER	Width must be a number.	宽度必须为数字。
HEIGHT_NOT_NUMBER	Height must be a number.	高度必须为数字。
BITRATE_NOT_NUMBER	BitRate must be a number.	比特率必须是数字。
FPS_NOT_NUMBER	FPS must be a number.	新鲜粮食店必须是数字。
PORT_NOT_NUMBER	Port must be a number.	端口必须是数字。
QUALITY_NOT_NUMBER	Quality must be a number.	质量必须是数字。
WMV_FORMAT_INVALID	WMV Format is not valid.	WMV格式是无效的。
WMV_PORT_IN_USE	Streaming Port is currently in use.	流端口正在使用中。
DELAY_NOT_NUMBER	Delay must be a number.	延迟必须是数字。
CAPTURE_RESOLUTION_NOT_SUPPORTED	Capture Resolution is not supported by this device.	此设备不支持拍摄分辨率。
CAPTURE_PIN_NOT_FOUND	Capture Pin could not be found.	捕捉引脚上无法找到。
CAPTURE_CONFIGURE_CROSSBAR	Could not Configure Crossbar.	无法配置交叉开关。
CAPTURE_CONNECT_AUDIO	Could not Connect Audio.	无法连接音频。
CAPTURE_ANALOG_FORMAT	Could not set Analog Format.	无法设置模拟格式。
CAPTURE_PIN_FORMAT	CAPTURE_PIN_FORMAT	CAPTURE_PIN_FORMAT
RENDER_PIN	Could not Render Output.	无法渲染输出。
VMR9_INIT	Could not Configure VMR.	无法配置VMR。
TRANSITION_DURATION_NOT_NUMBER	Duration is not a number or is invalid.	时间不是一个数字，或者是无效的。
STINGER_CUT_POINT_NOT_NUMBER	The Stinger Cut Point must be a number in milliseconds.	“毒刺”切点必须是一个数字，单位为毫秒。
STINGER_CUT_POINT_GREATER_DURATION	The Stinger Cut Point cannot be greater than the Duration.	“毒刺”切点不能大于持续时间。
ASF_WRITER_NOT_FOUND	ASF Writer could not be found.	业余作家可以不被发现。
WINDOWS_MEDIA_SERVICE_INTERFACE_NOT_FOUND	Windows Media Service Interface could not be found.	Windows媒体服务接口可能不会被发现。
WINDOWS_MEDIA_PROFILE_MANAGER_NOT_FOUND	Windows Media Profile Manager could not be found.	Windows Media配置文件管理器无法找到。
ASF_WRITER_CONFIG_NOT_FOUND	ASF Writer Configuration not found.	ASF作家配置没有找到。
WINDOWS_MEDIA_PROFILE_SETTINGS_NOT_COMPATIBLE	Windows Media Profile Settings are not compatible.	Windows Media配置文件设置不兼容。
REGISTRATION_EXPIRED	The current Registration Key has expired.	当前注册密钥已过期。
REGISTRATION_INVALID	The current Registration is invalid.	目前的注册是无效的。
REGISTRATION_DIFFERENTMACHINE	Hardware has changed. Activate your key at {newline} http://www.vmix.com/activate	硬件已经改变。激活你的关键在http://www.vmix.com/activate
REGISTRATION_CORRUPT	The current Registration is corrupt, please try registering again.	当前注册已损坏，请尝试重新注册。
REGISTRATION_INVALIDDATE	The System Date is invalid.	系统日期是无效的。
REGISTRATION_RENEWFAILED	Unable to renew Registration Key, check your internet connection and try again.	无法续订注册码，请检查您的互联网连接，然后重试。
